Id,Prediction
0,4371822.0
1,3614792.2
2,3450291.8
3,3555693.5
4,3606394.0
5,4814598.0
6,5064877.5
7,2750865.0
8,4346596.0
9,2840030.8
10,4385757.0
11,4290793.5
12,4409393.5
13,4210475.5
14,4004795.0
15,3532935.2
16,5198504.0
17,3042184.2
18,5494837.5
19,3537378.8
20,3499055.5
21,3763233.2
22,3632738.5
23,4057613.0
24,6968219.5
25,4382717.5
26,3515823.8
27,4756301.5
28,4078112.0
29,4379462.5
30,5757727.5
31,2642032.0
32,3026159.2
33,4549020.0
34,4036690.0
35,5866738.0
36,3373237.5
37,4279836.5
38,3593944.5
39,3429617.5
40,4888682.5
41,3311512.5
42,4015189.2
43,4002962.0
44,4899310.0
45,3517732.2
46,2739325.2
47,3091485.8
48,4031019.5
49,4040861.2
50,4064883.0
51,3592628.5
52,4629032.5
53,2894201.0
54,4400618.0
55,3696024.8
56,4449401.0
57,3715267.2
58,4029182.2
59,3643070.5
60,3987823.8
61,4761970.5
62,3450255.8
63,4259205.0
64,4391294.0
65,4436329.5
66,4043710.2
67,4439779.0
68,4436499.0
69,5375992.0
70,4363791.0
71,3624022.2
72,4081613.8
73,4559326.5
74,4680959.0
75,4501462.5
76,4122639.5
77,3913736.8
78,3941631.0
79,4531263.5
80,4707744.0
81,5653922.5
82,4117354.8
83,4584974.0
84,5519643.0
85,3673678.2
86,3153338.0
87,3568150.0
88,3784583.0
89,4933579.5
90,4561475.0
91,4110026.5
92,4158735.8
93,3663581.2
94,6212296.5
95,3378056.8
96,3613544.5
97,4242280.5
98,4202620.5
99,4364702.5
100,4897894.5
101,3445359.8
102,4363312.5
103,4128096.2
104,4253372.0
105,3020427.5
106,4242806.5
107,4990749.5
108,5486982.5
109,3525150.8
110,4377254.0
111,5124849.0
112,4136948.0
113,4493617.5
114,4509738.5
115,4679303.0
116,3424816.2
117,4499621.5
118,4474758.5
119,4452763.0
120,4183665.8
121,4686346.0
122,4644186.0
123,5199957.0
124,2797211.0
125,3026078.5
126,4785699.0
127,3705790.8
128,4247968.5
129,4526391.5
130,3379423.0
131,4207950.5
132,4481985.0
133,3871676.0
134,4319319.0
135,3659076.8
136,3567125.8
137,3649886.5
138,5228001.5
139,4160425.8
140,4380732.5
141,3467279.5
142,5519027.0
143,3884765.0
144,5882290.0
145,3157400.2
146,3830260.8
147,4145194.0
148,4295567.5
149,4751174.0
150,4685912.5
151,3431793.2
152,4210407.0
153,5298523.5
154,3261223.2
155,5092664.5
156,4566977.0
157,3959685.5
158,3886792.2
159,3741483.0
160,3102502.5
161,4699015.5
162,4172727.8
163,4730886.5
164,5068588.0
165,4456552.0
166,4000103.8
167,3329242.0
168,4862843.0
169,3995673.5
170,4076716.0
171,2688428.0
172,3203664.8
173,5744032.5
174,4947252.5
175,3960928.2
176,4755902.5
177,3471921.8
178,4096686.0
179,3899995.8
180,4518326.5
181,3361743.5
182,4435005.5
183,4371597.0
184,3879145.2
185,3894034.5
186,4150629.2
187,4701498.5
188,5703421.0
189,3919533.8
190,4069397.8
191,4487074.0
192,4460604.5
193,3675413.0
194,4771708.0
195,4202809.0
196,4152616.8
197,3804939.5
198,3893522.0
199,4885956.0
200,5439611.5
201,3118292.0
202,4299186.0
203,6235837.5
204,4700875.5
205,5670538.0
206,5003793.5
207,3564402.0
208,3919126.2
209,3973633.0
210,4457755.0
211,4174511.0
212,3196066.2
213,4041740.0
214,3715253.0
215,3009165.5
216,3541206.2
217,3878734.8
218,4663803.5
219,3478862.0
220,5896061.5
221,3374234.8
222,4313675.5
223,4044300.2
224,3923842.2
225,4729980.0
226,3265736.2
227,4233538.5
228,2823048.0
229,5806251.5
230,4427035.5
231,4452639.5
232,3798544.0
233,4281220.5
234,3563542.0
235,4288424.5
236,4088415.8
237,3595404.8
238,3976923.8
239,4044840.2
240,4058487.8
241,4310381.5
242,3420520.8
243,3497330.8
244,4105024.0
245,4619564.0
246,4581931.5
247,4105247.2
248,4406123.5
249,4245506.0
250,3135639.0
251,3966450.8
252,4961583.0
253,4389761.5
254,3857608.0
255,4403787.5
256,3362461.8
257,4239477.5
258,3273135.2
259,4196036.5
260,3345148.8
261,3179540.2
262,3060625.0
263,3359237.2
264,3602688.2
265,3864464.2
266,4089987.2
267,5941058.0
268,3642935.0
269,3998940.5
270,3400764.2
271,3956435.5
272,3416100.2
273,4226785.5
274,4767991.5
275,3546258.8
276,4918166.5
277,4129498.0
278,4542023.5
279,4216414.0
280,3374656.5
281,4672199.5
282,4337130.0
283,4471205.0
284,3852034.8
285,2798998.8
286,3788974.2
287,3735593.0
288,4353893.5
289,3517437.0
290,4062999.5
291,4022467.2
292,3246019.2
293,3867742.0
294,3404304.2
295,4232820.0
296,5101438.5
297,6327276.0
298,3585102.2
299,4100896.0
300,4117531.5
301,4224464.0
302,4358517.5
303,6066288.5
304,4355205.5
305,4049332.8
306,4161576.5
307,4221544.5
308,3414455.2
309,3158364.0
310,4709697.5
311,3858045.8
312,4686640.5
313,3863705.0
314,3693227.0
315,3093895.5
316,3412665.0
317,4515557.0
318,5141508.0
319,3717457.5
320,4499479.5
321,3870062.8
322,3777958.5
323,3436725.8
324,4241281.5
325,3678341.0
326,4256838.0
327,3778718.8
328,4038750.0
329,5454323.0
330,3172237.8
331,4173400.5
332,4307036.5
333,4738540.0
334,4730999.5
335,4730038.5
336,4150637.0
337,4162465.8
338,3661562.2
339,4433212.5
340,3980335.0
341,4803325.5
342,3917164.5
343,3528850.5
344,5060686.5
345,3908369.5
346,3937813.8
347,4693761.5
348,4008226.0
349,6038208.5
350,4080866.5
351,4927739.0
352,4201775.0
353,2752998.8
354,4607108.5
355,3908898.8
356,3705384.2
357,4449125.0
358,4266799.5
359,4561109.5
360,4628480.5
361,3713882.0
362,3493264.0
363,3639229.8
364,5312797.5
365,3958039.5
366,3532659.0
367,3431865.2
368,4081901.8
369,6108400.5
370,4560105.0
371,4453676.0
372,5204253.5
373,4338028.0
374,4514480.5
375,4548825.0
376,4406363.0
377,3746585.2
378,4165757.8
379,4655201.0
380,3984280.8
381,3890615.8
382,4169275.2
383,5405439.5
384,3646341.2
385,5028444.0
386,3684298.8
387,4748854.5
388,3859282.2
389,6546860.5
390,6100360.5
391,3370231.0
392,3152959.0
393,4112500.5
394,4674455.0
395,3795639.8
396,4636061.5
397,5911663.0
398,6337137.5
399,4439783.0
400,4571862.0
401,3912240.2
402,2674891.5
403,4274672.5
404,4086552.5
405,3749527.0
406,4539706.5
407,4628829.5
408,3112281.8
409,4108549.0
410,4290061.0
411,3536009.2
412,4610409.5
413,3656174.8
414,4716781.5
415,4986453.5
416,5300060.0
417,3165722.0
418,4638445.0
419,3715922.8
420,4011752.0
421,4722020.5
422,5628647.5
423,3588375.8
424,4379354.0
425,3821992.5
426,3619777.0
427,3630120.5
428,4082805.0
429,4071179.5
430,3546505.8
431,4589786.5
432,3251540.2
433,5209353.0
434,3537402.2
435,4656080.0
436,3579537.0
437,4531622.0
438,3816947.5
439,4959766.0
440,3792173.5
441,3804453.2
442,4815888.5
443,4485393.0
444,5325890.5
445,4867176.5
